BVF.DL,musp.DL,B.DL,Mel.DL,O2.DL,BVF.true,musp.true,B.true,Mel.true,O2.true
2.3676,29.90934153,1.595,-0.0042891,89.789,2.3333,30,1.4333,0,91.111
3.7074,22.7376743,2.0187,1.374,76.184,3.6667,21.111,2.1,1.3333,73.333
1.3561,16.38490771,2.0766,0.21854,61.074,1.4444,16.667,2.5,0.22222,60
4.069,11.17690928,2.2451,0.57279,81.855,4.1111,12.222,2.3667,0.66667,86.667
2.1883,17.96637658,2.0318,1.6299,73.609,2.3333,18.889,2.3667,1.7778,68.889
2.8299,25.17533645,1.7455,0.019783,59.778,2.7778,25.556,1.3,0,60
1.002,26.40524343,2.0438,0.43868,93.518,1,25.556,1.8333,0.44444,95.556
3.0168,25.08544258,1.9072,0.99962,71.81,3.2222,27.778,2.2333,1.1111,60
1.9152,19.29217469,1.8956,1.7738,79.689,1.8889,18.889,1.9667,1.7778,77.778
4.802,9.031658681,1.8575,1.3903,95.14,5,10,1.9667,1.3333,95.556
2.7815,23.39707212,2.2494,1.7584,87.18,2.7778,23.333,2.3667,1.7778,86.667
1.363,26.92429818,1.7531,1.0376,74.81,1.4444,30,1.9667,1.1111,64.444
1.4412,20.91804242,1.7879,0.23771,78.212,1.4444,21.111,1.7,0.22222,77.778
0.53951,14.5527786,1.4587,1.1934,70.087,1,14.444,1.3,1.1111,73.333
5.2304,16.45411863,1.4032,0.2307,95.489,5,16.667,1.3,0.22222,95.556
2.9678,20.67141889,1.83,0.4797,78.652,2.7778,18.889,1.7,0.44444,82.222
1.4348,17.13744598,2.1799,1.2077,97.966,1.4444,16.667,1.9667,1.1111,100
4.9005,22.65892267,1.8832,1.3686,82.899,5,21.111,1.9667,1.3333,82.222
3.0159,10.68899731,1.5912,1.5133,66.191,2.7778,10,1.4333,1.3333,64.444
2.3907,26.84269865,1.7279,1.7517,79.436,2.3333,27.778,1.7,1.7778,82.222
3.1768,25.55998366,1.4344,0.0027961,78.296,3.2222,25.556,1.4333,0,77.778
4.6808,26.87800127,1.7602,1.803,61.577,5,27.778,1.7,1.7778,60
4.8172,18.97706208,2.2341,0.48022,59.176,5,18.889,2.2333,0.44444,60
